location_id,country_iso_code,city
1659,UZ,Tashkent
1660,UZ,Tashkent
1661,UZ,Tashkent
1662,UZ,Tashkent
1663,UZ,Tashkent
1664,UZ,Tashkent
1665,UZ,Tashkent
1666,UZ,Tashkent
1667,UZ,Tashkent
1668,UZ,Tashkent
1669,UZ,
1670,UZ,Namangan
1671,UZ,Tashkent
1672,US,Fort Worth
1673,UZ,Tashkent
1674,UZ,Tashkent
1675,UZ,Tashkent
1676,UZ,Tashkent
1677,UZ,
1678,UZ,Tashkent
1679,UZ,Tashkent
1680,UZ,Tashkent
1681,UZ,Tashkent
1682,UZ,Tashkent
1683,UZ,Tashkent
1684,UZ,
1685,UZ,Tashkent
1686,UZ,Tashkent
1687,UZ,Tashkent
1688,UZ,Tashkent
1689,UZ,Tashkent
1690,UZ,Tashkent
1691,UZ,Tashkent
1692,UZ,Tashkent
1693,UZ,Tashkent
1694,UZ,Tashkent
1695,UZ,Tashkent
1696,UZ,Samarkand
1697,UZ,Tashkent
1698,UZ,Tashkent
1699,UZ,Tashkent
1700,UZ,Tashkent
1701,UZ,Tashkent
1702,UZ,Tashkent
1703,UZ,Tashkent
1704,UZ,Tashkent
1705,UZ,Tashkent
1706,UZ,Tashkent
1707,UZ,Tashkent
1708,UZ,Tashkent
1709,UZ,Tashkent
1710,UZ,Tashkent
1711,UZ,Tashkent
1712,UZ,Tashkent
1713,UZ,Tashkent
1714,UZ,Tashkent
1715,UZ,Tashkent
1716,US,Ashburn
1717,UZ,Tashkent
1718,RU,Ivanteevka
1719,UZ,Tashkent
1720,UZ,Tashkent
1721,UZ,
1722,UZ,Tashkent
1723,UZ,Tashkent
1724,UZ,Navoi
1725,UZ,Tashkent
1726,UZ,Tashkent
1727,UZ,Tashkent
1728,UZ,Tashkent
1729,UZ,Tashkent
1730,UZ,Tashkent
1731,UZ,Tashkent
1732,UZ,Tashkent
1733,UZ,Tashkent
1734,UZ,Tashkent
1735,UZ,Tashkent
1736,UZ,Tashkent
1737,UZ,Tashkent
1738,UZ,Tashkent
1739,UZ,Tashkent
1740,UZ,Tashkent
1741,UZ,Tashkent
1742,UZ,Tashkent
1743,UZ,Tashkent
1744,UZ,Tashkent
1745,UZ,Tashkent
1746,UZ,
1747,UZ,Tashkent
1748,UZ,Tashkent
1749,UZ,Tashkent
1750,UZ,Tashkent
1751,RU,Vladimir
1752,UZ,Tashkent
1753,UZ,Tashkent
1754,UZ,Tashkent
1755,UZ,Tashkent
1756,UZ,Tashkent
1757,UZ,Tashkent
1758,UZ,Tashkent
1759,UZ,Tashkent
1760,UZ,Tashkent
1761,UZ,Tashkent
1762,UZ,Tashkent
1763,UZ,Tashkent
