osys_id,os_name,os_version
1407,android,13
1408,android,10
1409,android,10
1410,ios,17.0.3
1411,android,10
1412,android,12
1413,android,10
1414,android,12
1415,android,10
1416,android,10
1417,android,10
1418,android,10
1419,android,10
1420,android,10
1421,linux,
1422,android,12
1423,android,10
1424,android,13
1425,android,12
1426,windows,10.0
1427,android,12
1428,windows,10.0
1429,android,10
1430,android,10
1431,android,13
1432,ios,16.6.1
1433,android,10
1434,android,13
1435,ios,17.1
1436,ios,16.7
1437,android,10
1438,android,10
1439,android,10
1440,android,10
1441,ios,17.0.3
1442,android,13
1443,ios,16.7.2
1444,android,10
1445,windows,10.0
1446,android,9
1447,android,13
1448,ios,17.0.3
1449,android,12
1450,linux,
1451,android,10
1452,ios,16.6.1
1453,android,10
1454,android,10
1455,,
1456,ios,17.1
1457,android,10
1458,android,10
1459,android,10
1460,android,11
1461,android,10
1462,ios,17.0.3
1463,android,10
1464,android,10
1465,android,13
1466,macos,10.15.7
1467,ios,16.6.1
1468,macos,10.15.7
1469,android,10
1470,android,10
1471,android,10
1472,ios,17.1
1473,android,10
1474,ios,16.7.1
1475,android,10
1476,ios,17.0.3
1477,android,10
1478,android,10
1479,ios,16.7.1
1480,android,10
1481,android,10
1482,android,10
1483,ios,16.6.1
1484,android,10
1485,ios,16.7
1486,ios,17.0
1487,ios,17.1
1488,android,10
1489,android,13
1490,ios,17.1
1491,android,10
1492,android,10
1493,ios,14.6
1494,ios,17.0.3
1495,android,10
1496,android,13
1497,ios,17.0.3
1498,windows,10.0
1499,android,10
1500,android,10
1501,android,11
1502,android,10
1503,ios,16.6.1
1504,android,10
1505,android,10
1506,android,10
1507,android,10
1508,android,12
1509,android,10
1510,android,10
1511,android,12
1512,android,10
1513,ios,16.6.1
1514,android,10
1515,android,10
1516,android,13
1517,android,10
1518,windows,10.0
1519,android,10
1520,android,10
1521,android,10
1522,android,10
1523,ios,16.6.1
1524,android,10
1525,android,10
1526,android,10
1527,windows,10.0
1528,android,13
1529,android,10
1530,ios,14.0
1531,android,10
1532,ios,16.0.2
1533,android,10
1534,android,10
1535,android,13
1536,ios,15.5
1537,android,10
1538,ios,17.1
1539,android,10
1540,ios,17.0.3
1541,android,13
1542,android,12
1543,macos,10.15.7
1544,android,10
1545,android,12
1546,ios,17.0.3
1547,macos,10.15.7
1548,android,10
1549,android,13
1550,android,10
1551,ios,16.6.1
1552,ios,16.6.1
1553,android,13
1554,android,10
1555,android,10
1556,android,10
1557,android,10
1558,android,10
1559,android,10
1560,android,11
1561,android,10
1562,ios,17.0.2
1563,ios,17.0
1564,ios,16.3.1
1565,android,10
1566,android,13
1567,android,13
1568,ios,15.7.8
1569,android,12
1570,linux,
1571,android,10
1572,android,13
1573,android,10
1574,android,13
1575,ios,14.8.1
1576,ios,17.0.3
1577,android,10
1578,android,10
1579,ios,17.0
1580,android,8.0.0
1581,ios,16.5
1582,ios,16.6.1
1583,android,11
1584,android,10
1585,android,10
1586,android,12
1587,android,10
1588,android,12
1589,android,10
1590,android,12
1591,ios,16.6.1
1592,ios,17.0
1593,android,10
1594,android,10
1595,android,10
1596,ios,17.1
1597,android,10
1598,android,10
1599,android,10
1600,android,10
1601,android,10
1602,android,13
1603,android,10
1604,android,10
1605,android,10
1606,android,13
1607,ios,16.6.1
1608,android,10
1609,android,11
1610,android,11
1611,android,13
1612,ios,17.0.3
1613,android,10
1614,android,10
1615,android,12
1616,android,13
1617,android,10
1618,android,10
1619,android,10
1620,android,8.1.0
1621,android,10
1622,android,10
1623,android,13
