pub_id,publisher_id,publisher_name
1407,141814,Lebazar_media
1408,141586,Korzinka
1409,141586,Korzinka
1410,141586,Korzinka
1411,141586,Korzinka
1412,141586,Korzinka
1413,141586,Korzinka
1414,141586,Korzinka
1415,141586,Korzinka
1416,141586,Korzinka
1417,141586,Korzinka
1418,141586,Korzinka
1419,141586,Korzinka
1420,141586,Korzinka
1421,141586,Korzinka
1422,141586,Korzinka
1423,141586,Korzinka
1424,141586,Korzinka
1425,141586,Korzinka
1426,141586,Korzinka
1427,141586,Korzinka
1428,141586,Korzinka
1429,141586,Korzinka
1430,141586,Korzinka
1431,141586,Korzinka
1432,140056,Lebazar_old_app
1433,141586,Korzinka
1434,141586,Korzinka
1435,141586,Korzinka
1436,141586,Korzinka
1437,141586,Korzinka
1438,141586,Korzinka
1439,141586,Korzinka
1440,141586,Korzinka
1441,141586,Korzinka
1442,141586,Korzinka
1443,141586,Korzinka
1444,141586,Korzinka
1445,141586,Korzinka
1446,141586,Korzinka
1447,141586,Korzinka
1448,141586,Korzinka
1449,141586,Korzinka
1450,141586,Korzinka
1451,141586,Korzinka
1452,141586,Korzinka
1453,141586,Korzinka
1454,141586,Korzinka
1455,141586,Korzinka
1456,140056,Lebazar_old_app
1457,141586,Korzinka
1458,141586,Korzinka
1459,141586,Korzinka
1460,141814,Lebazar_media
1461,141586,Korzinka
1462,140056,Lebazar_old_app
1463,140056,Lebazar_old_app
1464,141586,Korzinka
1465,141586,Korzinka
1466,141586,Korzinka
1467,140056,Lebazar_old_app
1468,146464,?????????
1469,146464,?????????
1470,141586,Korzinka
1471,141586,Korzinka
1472,145627,SMM Korzinka Go
1473,141586,Korzinka
1474,141586,Korzinka
1475,141586,Korzinka
1476,146464,?????????
1477,141586,Korzinka
1478,141586,Korzinka
1479,141814,Lebazar_media
1480,141586,Korzinka
1481,141586,Korzinka
1482,141586,Korzinka
1483,140056,Lebazar_old_app
1484,141586,Korzinka
1485,141586,Korzinka
1486,141586,Korzinka
1487,141586,Korzinka
1488,141586,Korzinka
1489,141601,???????
1490,140056,Lebazar_old_app
1491,141586,Korzinka
1492,141586,Korzinka
1493,146464,?????????
1494,141586,Korzinka
1495,141586,Korzinka
1496,141586,Korzinka
1497,141586,Korzinka
1498,141586,Korzinka
1499,141586,Korzinka
1500,141586,Korzinka
1501,141586,Korzinka
1502,141586,Korzinka
1503,141586,Korzinka
1504,141586,Korzinka
1505,141586,Korzinka
1506,141586,Korzinka
1507,141586,Korzinka
1508,141586,Korzinka
1509,141586,Korzinka
1510,141586,Korzinka
1511,141586,Korzinka
1512,140056,Lebazar_old_app
1513,141586,Korzinka
1514,141586,Korzinka
1515,141586,Korzinka
1516,141586,Korzinka
1517,146464,?????????
1518,141586,Korzinka
1519,141586,Korzinka
1520,141586,Korzinka
1521,140056,Lebazar_old_app
1522,141586,Korzinka
1523,140056,Lebazar_old_app
1524,141586,Korzinka
1525,141586,Korzinka
1526,141586,Korzinka
1527,141586,Korzinka
1528,141586,Korzinka
1529,141586,Korzinka
1530,141586,Korzinka
1531,141586,Korzinka
1532,141586,Korzinka
1533,141586,Korzinka
