app_id,application_id,publisher_name
1407,4391677,Lebazar_media
1408,4391677,Korzinka
1409,4391677,Korzinka
1410,4391677,Korzinka
1411,4391677,Korzinka
1412,4391677,Korzinka
1413,4391677,Korzinka
1414,4391677,Korzinka
1415,4391677,Korzinka
1416,4391677,Korzinka
1417,4391677,Korzinka
1418,4391677,Korzinka
1419,4391677,Korzinka
1420,4391677,Korzinka
1421,4391677,Korzinka
1422,4391677,Korzinka
1423,4391677,Korzinka
1424,4391677,Korzinka
1425,4391677,Korzinka
1426,4391677,Korzinka
1427,4391677,Korzinka
1428,4391677,Korzinka
1429,4391677,Korzinka
1430,4391677,Korzinka
1431,4391677,Korzinka
1432,4391677,Lebazar_old_app
1433,4391677,Korzinka
1434,4391677,Korzinka
1435,4391677,Korzinka
1436,4391677,Korzinka
1437,4391677,Korzinka
1438,4391677,Korzinka
1439,4391677,Korzinka
1440,4391677,Korzinka
1441,4391677,Korzinka
1442,4391677,Korzinka
1443,4391677,Korzinka
1444,4391677,Korzinka
1445,4391677,Korzinka
1446,4391677,Korzinka
1447,4391677,Korzinka
1448,4391677,Korzinka
1449,4391677,Korzinka
1450,4391677,Korzinka
1451,4391677,Korzinka
1452,4391677,Korzinka
1453,4391677,Korzinka
1454,4391677,Korzinka
1455,4391677,Korzinka
1456,4391677,Lebazar_old_app
1457,4391677,Korzinka
1458,4391677,Korzinka
1459,4391677,Korzinka
1460,4391677,Lebazar_media
1461,4391677,Korzinka
1462,4391677,Lebazar_old_app
1463,4391677,Lebazar_old_app
1464,4391677,Korzinka
1465,4391677,Korzinka
1466,4391677,Korzinka
1467,4391677,Lebazar_old_app
1468,4391677,?????????
1469,4391677,?????????
1470,4391677,Korzinka
1471,4391677,Korzinka
1472,4391677,SMM Korzinka Go
1473,4391677,Korzinka
1474,4391677,Korzinka
1475,4391677,Korzinka
1476,4391677,?????????
1477,4391677,Korzinka
1478,4391677,Korzinka
1479,4391677,Lebazar_media
1480,4391677,Korzinka
